,age_carte_grise,age_vehicule,agepr,cataeu,consommation,cs42pr,dip14pr,distance_autre_carbu,distance_commerces,distance_diesel,distance_essence,distance_transports_communs,etat_veh_achat,ident_men,mloy_d,nactifs,nbphab,nenfants,nivie10,npers,ocde10,pondmen,puissance,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
0,6.0,6.0,88.0,112.0,5.2,78.0,70.0,0.0,4.0,20000.0,0.0,1.0,1.0,11000102000.0,0.0,0.0,4.0,0.0,4.0,2.0,1.5,709.54575136,7.0,5.0,2.0,10.0,0.0,3.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1.0,12804.0,4,2,4_0,4_1_0
1,3.0,0.0,38.0,112.0,,38.0,10.0,0.0,4.0,0.0,,3.0,3.0,11000202000.0,0.0,2.0,4.0,1.0,10.0,3.0,1.8,1307.5225461,23.0,1.0,1.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,3.0,0.0,50004.0,10,5,10,10_1
2,1.0,1.0,36.0,112.0,6.0,38.0,10.0,0.0,4.0,19226.0,0.0,2.0,1.0,11000302000.0,0.0,2.0,5.0,0.0,9.0,2.0,1.5,318.73058197,6.0,1.0,1.0,10.0,0.0,3.0,2.0,1.0,1.0,1,0,0,0,0,0,0.0,2.0,24000.0,8,4,8,8_1
3,4.0,6.0,46.0,112.0,,67.0,71.0,0.0,4.0,15856.0,0.0,4.0,3.0,11000402000.0,0.0,2.0,4.0,0.0,8.0,2.0,1.5,327.41240491,5.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,24000.0,8,4,8,8_1
4,1.0,0.0,47.0,112.0,,67.0,71.0,0.0,4.0,6859.0,0.0,1.0,4.0,11000502000.0,0.0,2.0,5.0,2.0,2.0,4.0,2.5,335.85043667,,1.0,2.0,10.0,0.0,4.0,1.0,0.0,1.0,1,0,0,0,0,0,0.0,1.0,9444.0,2,1,2_0,2_1_0
5,4.0,7.0,38.0,112.0,9.0,38.0,50.0,0.0,4.0,30000.0,0.0,1.0,4.0,11000602000.0,0.0,2.0,6.0,2.0,10.0,4.0,2.1,317.45817453,8.0,1.0,1.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,0.0,3.0,36000.0,10,5,10,10_1
6,3.0,15.0,82.0,112.0,,77.0,71.0,0.0,4.0,0.0,1000.0,1.0,4.0,11000702000.0,0.0,0.0,4.0,0.0,1.0,2.0,1.5,709.54575136,4.0,5.0,2.0,10.0,0.0,3.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,8172.0,1,1,1_0,1_1_0
7,6.0,6.0,74.0,112.0,,71.0,71.0,0.0,4.0,0.0,2000.0,1.0,1.0,11000902000.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,286.75684537,5.0,5.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,13608.0,4,2,4_0,4_1_0
8,3.0,17.0,46.0,112.0,,55.0,50.0,0.0,4.0,30200.0,0.0,4.0,4.0,11001105000.0,0.0,2.0,5.0,1.0,9.0,3.0,1.8,902.47522567,6.0,1.0,1.0,10.0,0.0,4.0,4.0,0.0,1.0,1,0,0,0,0,0,0.0,4.0,26664.0,9,5,9,9_1
9,2.0,9.0,46.0,112.0,7.0,43.0,33.0,0.0,4.0,0.0,20000.0,1.0,4.0,11001302000.0,0.0,2.0,5.0,2.0,6.0,4.0,2.5,314.42680889,6.0,1.0,2.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,3.0,0.0,16800.0,6,3,6,6_1
10,3.0,3.0,45.0,112.0,5.5,54.0,50.0,0.0,4.0,25000.0,0.0,1.0,1.0,11001605000.0,0.0,2.0,5.0,0.0,10.0,2.0,1.5,924.59039519,6.0,1.0,1.0,10.0,0.0,3.0,1.0,0.0,1.0,1,0,0,0,0,0,0.0,1.0,34404.0,10,5,10,10_1
11,13.0,14.0,44.0,112.0,6.0,48.0,31.0,0.0,2.0,15000.0,0.0,1.0,1.0,11001802000.0,0.0,2.0,7.0,3.0,9.0,5.0,2.4,261.32370971,6.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,27504.0,9,5,9,9_1
12,3.0,13.0,41.0,112.0,,48.0,50.0,0.0,2.0,0.0,4676.0,1.0,4.0,11001902000.0,0.0,2.0,5.0,2.0,5.0,4.0,2.5,583.9024376,5.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,2.0,0.0,15264.0,5,3,5,5_1
13,13.0,0.0,62.0,112.0,7.0,74.0,31.0,0.0,3.0,29500.0,0.0,1.0,1.0,11002002000.0,0.0,2.0,4.0,1.0,10.0,3.0,2.0,185.36206598,6.0,5.0,2.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,0.0,3.0,34368.0,10,5,10,10_1
14,3.0,9.0,34.0,112.0,6.0,37.0,10.0,0.0,1.0,20000.0,15000.0,1.0,4.0,11002202000.0,0.0,2.0,7.0,0.0,10.0,2.0,1.5,609.5895235,6.0,1.0,1.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,1.0,1.0,32736.0,10,5,10,10_1
15,1.0,4.0,47.0,112.0,5.0,62.0,60.0,0.0,3.0,17343.0,0.0,1.0,4.0,11002502000.0,0.0,2.0,3.0,3.0,2.0,5.0,2.6,281.54677795,5.0,1.0,2.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,9744.0,2,1,2_0,2_1_0
16,4.0,7.0,56.0,112.0,7.5,33.0,41.0,0.0,4.0,25000.0,25000.0,1.0,3.0,11002602000.0,150.0,2.0,5.0,0.0,10.0,2.0,1.5,307.05107286,7.0,1.0,5.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,1.0,1.0,57600.0,10,5,10,10_1
17,4.0,6.0,62.0,112.0,7.0,74.0,50.0,0.0,4.0,12000.0,0.0,1.0,4.0,11002905000.0,0.0,1.0,5.0,0.0,10.0,2.0,1.5,494.70866671,9.0,5.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,48000.0,10,5,10,10_1
18,5.0,5.0,47.0,112.0,6.0,37.0,31.0,0.0,4.0,39672.0,0.0,4.0,1.0,11003002000.0,0.0,2.0,5.0,0.0,10.0,2.0,1.5,302.64536394,6.0,1.0,1.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,56004.0,10,5,10,10_1
19,1.0,1.0,58.0,112.0,5.5,75.0,33.0,0.0,4.0,182.0,0.0,3.0,1.0,11003202000.0,0.0,0.0,5.0,0.0,8.0,1.0,1.0,512.81244446,5.0,5.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,1,0,0,0,0,0,0.0,2.0,22800.0,8,4,8,8_1
20,4.0,4.0,52.0,112.0,,23.0,20.0,0.0,4.0,20000.0,0.0,3.0,1.0,11003302000.0,0.0,2.0,6.0,2.0,8.0,4.0,2.5,312.25980286,4.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,22080.0,8,4,8,8_1
21,3.0,5.0,57.0,112.0,6.5,56.0,60.0,0.0,4.0,11000.0,30000.0,1.0,3.0,11003402000.0,0.0,1.0,7.0,1.0,9.0,5.0,2.8,369.69126042,4.0,1.0,2.0,10.0,0.0,5.0,2.0,1.0,0.0,1,0,0,0,0,0,1.0,1.0,24432.0,9,5,9,9_1
22,4.0,4.0,59.0,112.0,7.0,56.0,50.0,0.0,4.0,15000.0,0.0,4.0,1.0,11003502000.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,330.82214253,7.0,1.0,2.0,10.0,0.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0.0,1.0,12000.0,3,2,3_0,3_1_0
23,4.0,4.0,58.0,112.0,7.0,37.0,41.0,0.0,4.0,40000.0,0.0,1.0,1.0,11003602000.0,0.0,1.0,5.0,0.0,9.0,2.0,1.5,170.47447402,6.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,27996.0,9,5,9,9_1
24,3.0,3.0,36.0,112.0,7.0,37.0,12.0,0.0,4.0,0.0,15000.0,2.0,1.0,11003702000.0,0.0,2.0,5.0,3.0,9.0,5.0,2.4,503.10555903,7.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,2.0,0.0,27312.0,9,5,9,9_1
25,6.0,0.0,34.0,112.0,5.0,38.0,12.0,0.0,4.0,24787.0,0.0,2.0,1.0,11003802000.0,0.0,2.0,7.0,3.0,10.0,5.0,2.4,256.35969405,4.0,1.0,1.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,0.0,3.0,45504.0,10,5,10,10_1
26,2.0,2.0,40.0,112.0,6.0,38.0,20.0,0.0,4.0,8000.0,3000.0,1.0,2.0,11003902000.0,0.0,3.0,5.0,1.0,9.0,3.0,2.0,318.56302941,5.0,1.0,1.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,1.5,1.5,27000.0,9,5,9,9_1
27,2.0,7.0,54.0,112.0,6.0,33.0,41.0,0.0,4.0,30000.0,0.0,1.0,4.0,11004102000.0,1900.0,4.0,6.0,4.0,9.0,6.0,3.5,214.66872853,6.0,1.0,4.0,10.0,0.0,4.0,3.0,0.0,1.0,1,0,0,0,0,0,0.0,3.0,27432.0,9,5,9,9_1
28,2.0,2.0,27.0,112.0,,46.0,43.0,0.0,4.0,0.0,11517.0,1.0,1.0,11004202000.0,150.0,1.0,2.0,0.0,7.0,1.0,1.0,733.3270209,7.0,1.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,19200.0,7,4,7,7_1
29,9.0,13.0,69.0,112.0,8.0,72.0,50.0,0.0,4.0,9000.0,0.0,2.0,3.0,11004302000.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,282.35044673,7.0,5.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1.0,11040.0,3,2,3_0,3_1_0
30,6.0,13.0,61.0,112.0,,31.0,20.0,0.0,4.0,0.0,5000.0,3.0,1.0,11004602000.0,0.0,1.0,5.0,0.0,10.0,2.0,1.5,243.40185226,9.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,2.0,0.0,85368.0,10,5,10,10_1
31,3.0,4.0,69.0,112.0,5.0,74.0,71.0,0.0,4.0,20000.0,0.0,1.0,2.0,11004702001.0,0.0,0.0,5.0,0.0,10.0,2.0,1.5,226.74016625,4.0,5.0,2.0,10.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,0.0,2.0,39204.0,10,5,10,10_1
32,2.0,2.0,47.0,112.0,5.0,46.0,71.0,0.0,4.0,86000.0,0.0,2.0,1.0,11004902000.0,0.0,2.0,4.0,0.0,10.0,2.0,1.5,317.55385863,5.0,1.0,2.0,10.0,0.0,3.0,2.0,1.0,1.0,1,0,0,0,0,0,0.0,2.0,120000.0,10,5,10,10_1
33,10.0,17.0,42.0,112.0,4.0,62.0,71.0,0.0,4.0,3500.0,0.0,2.0,4.0,11005102000.0,0.0,2.0,5.0,2.0,6.0,4.0,2.5,321.09382523,5.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,16800.0,6,3,6,6_1
34,4.0,5.0,61.0,112.0,7.0,74.0,60.0,0.0,4.0,20000.0,0.0,2.0,3.0,11005402000.0,0.0,0.0,10.0,0.0,9.0,2.0,1.5,169.86681295,7.0,5.0,2.0,10.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,0.0,2.0,26400.0,9,5,9,9_1
35,2.0,2.0,32.0,112.0,5.8,47.0,20.0,0.0,4.0,28100.0,0.0,1.0,1.0,11005702000.0,0.0,2.0,4.0,2.0,8.0,4.0,2.1,605.1370731,6.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,24000.0,8,4,8,8_1
36,7.0,9.0,44.0,112.0,7.0,38.0,31.0,0.0,4.0,15000.0,0.0,1.0,3.0,11005802000.0,0.0,2.0,6.0,2.0,6.0,4.0,2.5,284.29772272,6.0,1.0,1.0,10.0,0.0,4.0,2.0,1.0,1.0,1,0,0,0,0,0,0.0,2.0,17280.0,6,3,6,6_1
37,19.0,19.0,80.0,112.0,6.0,78.0,70.0,0.0,4.0,0.0,3000.0,1.0,1.0,11005902000.0,0.0,0.0,4.0,0.0,1.0,2.0,1.5,709.86743172,5.0,5.0,2.0,10.0,0.0,3.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,8004.0,1,1,1_0,1_1_0
38,3.0,3.0,56.0,112.0,5.0,46.0,70.0,0.0,4.0,17102.0,0.0,1.0,1.0,11006002000.0,0.0,1.0,4.0,0.0,9.0,2.0,1.5,267.91321601,4.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,25596.0,9,5,9,9_1
39,1.0,7.0,46.0,112.0,7.0,47.0,50.0,0.0,3.0,12000.0,0.0,3.0,3.0,11006102000.0,0.0,2.0,4.0,3.0,7.0,5.0,2.4,262.03391705,6.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,18996.0,7,4,7,7_1
40,5.0,8.0,60.0,112.0,,74.0,10.0,0.0,3.0,1400.0,15000.0,1.0,3.0,11006202000.0,0.0,0.0,7.0,0.0,6.0,2.0,1.5,166.47731128,7.0,5.0,2.0,10.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,1.0,1.0,17928.0,6,3,6,6_1
41,10.0,15.0,56.0,112.0,7.5,74.0,50.0,0.0,4.0,8000.0,0.0,1.0,4.0,11006302000.0,0.0,1.0,6.0,0.0,9.0,2.0,1.5,267.91321601,6.0,5.0,1.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,27996.0,9,5,9,9_1
42,9.0,12.0,39.0,112.0,5.0,38.0,43.0,0.0,4.0,0.0,30000.0,4.0,1.0,11006602000.0,0.0,2.0,4.0,2.0,4.0,4.0,2.1,311.47524428,6.0,1.0,1.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,2.0,0.0,14136.0,4,2,4_0,4_1_0
43,2.0,2.0,41.0,112.0,5.0,38.0,12.0,0.0,3.0,22000.0,0.0,2.0,1.0,11006902000.0,0.0,2.0,6.0,2.0,10.0,4.0,2.3,283.41031257,6.0,1.0,2.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,31836.0,10,5,10,10_1
44,7.0,7.0,58.0,112.0,6.0,37.0,60.0,0.0,1.0,38000.0,0.0,1.0,1.0,11007002000.0,0.0,1.0,4.0,0.0,9.0,2.0,1.5,163.3616878,4.0,1.0,2.0,10.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,0.0,2.0,24000.0,8,4,8,8_1
45,2.0,12.0,61.0,112.0,12.0,38.0,12.0,0.0,2.0,15000.0,3000.0,2.0,3.0,11007102000.0,0.0,2.0,6.0,1.0,10.0,2.0,1.5,324.91491597,21.0,1.0,2.0,10.0,0.0,2.0,4.0,0.0,1.0,1,0,0,0,0,0,2.0,2.0,120000.0,10,5,10,10_1
46,1.0,0.0,36.0,112.0,4.9,37.0,31.0,0.0,1.0,50144.0,0.0,1.0,1.0,11007202000.0,0.0,2.0,4.0,1.0,10.0,3.0,1.8,303.79478746,6.0,1.0,1.0,10.0,0.0,4.0,1.0,1.0,1.0,1,0,0,0,0,0,0.0,1.0,43332.0,10,5,10,10_1
47,10.0,19.0,65.0,112.0,10.0,75.0,70.0,0.0,1.0,0.0,3543.0,1.0,4.0,11007402000.0,210.0,0.0,1.0,0.0,3.0,1.0,1.0,892.32682107,7.0,5.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,10800.0,3,2,3_0,3_1_0
48,14.0,14.0,61.0,112.0,5.0,74.0,20.0,0.0,2.0,5000.0,0.0,2.0,1.0,11007502000.0,0.0,0.0,5.0,0.0,10.0,2.0,1.5,163.3616878,5.0,5.0,2.0,10.0,0.0,3.0,2.0,0.0,0.0,1,0,0,0,0,0,0.0,2.0,39996.0,10,5,10,10_1
49,5.0,7.0,43.0,112.0,,52.0,50.0,0.0,4.0,0.0,16000.0,1.0,3.0,11007602000.0,0.0,2.0,6.0,2.0,5.0,4.0,2.3,320.47561785,7.0,1.0,2.0,10.0,0.0,4.0,2.0,0.0,0.0,1,0,0,0,0,0,2.0,0.0,15648.0,5,3,5,5_1
50,1.0,3.0,61.0,112.0,7.0,22.0,50.0,0.0,4.0,0.0,7000.0,1.0,2.0,11007702000.0,0.0,2.0,5.0,0.0,10.0,2.0,1.5,244.53710148,4.0,1.0,2.0,10.0,0.0,3.0,1.0,1.0,1.0,1,0,0,0,0,0,1.0,0.0,50820.0,10,5,10,10_1
51,,,81.0,112.0,,75.0,70.0,,4.0,,,1.0,,11007902001.0,0.0,0.0,5.0,0.0,9.0,1.0,1.0,617.13563423,,5.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,30000.0,9,5,9,9_1
52,14.0,14.0,52.0,112.0,8.0,46.0,31.0,0.0,4.0,0.0,5915.0,4.0,1.0,11008102000.0,0.0,2.0,5.0,2.0,8.0,4.0,2.5,301.73628723,5.0,1.0,2.0,10.0,0.0,4.0,2.0,0.0,1.0,1,0,0,0,0,0,2.0,0.0,21600.0,8,4,8,8_1
53,4.0,4.0,73.0,112.0,5.5,77.0,70.0,0.0,4.0,12700.0,0.0,4.0,1.0,11008202000.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,346.47298974,5.0,5.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1.0,12000.0,3,2,3_0,3_1_0
54,1.0,5.0,49.0,112.0,6.7,47.0,50.0,0.0,4.0,47343.0,0.0,1.0,4.0,11008402000.0,0.0,2.0,5.0,0.0,10.0,2.0,1.5,310.35373693,7.0,1.0,1.0,10.0,0.0,3.0,2.0,0.0,1.0,1,0,0,0,0,0,0.0,2.0,36000.0,10,5,10,10_1
55,1.0,8.0,43.0,112.0,6.5,52.0,60.0,0.0,4.0,0.0,15000.0,1.0,2.0,11008702000.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,353.32105564,5.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,1.0,0.0,18000.0,6,3,6,6_1
56,7.0,7.0,81.0,112.0,,78.0,70.0,0.0,4.0,0.0,5000.0,,1.0,11009201000.0,0.0,0.0,15.0,0.0,4.0,2.0,1.5,1396.4118463,4.0,5.0,2.0,10.0,1.0,3.0,1.0,0.0,0.0,0,1,0,0,0,0,1.0,0.0,13416.0,4,2,4_0,4_0_0
57,10.0,20.0,53.0,112.0,,47.0,20.0,0.0,4.0,0.0,8908.0,4.0,4.0,11009401000.0,0.0,2.0,6.0,0.0,10.0,2.0,1.5,1217.282479,5.0,1.0,1.0,10.0,1.0,3.0,2.0,0.0,1.0,0,1,0,0,0,0,2.0,0.0,31716.0,10,5,10,10_0
58,5.0,5.0,43.0,112.0,6.0,38.0,31.0,0.0,2.0,20000.0,0.0,1.0,1.0,11009501000.0,0.0,2.0,4.0,1.0,9.0,3.0,1.8,664.64477451,6.0,1.0,1.0,10.0,1.0,4.0,2.0,0.0,1.0,0,1,0,0,0,0,0.0,2.0,26664.0,9,5,9,9_0
59,3.0,10.0,57.0,112.0,6.0,43.0,20.0,0.0,2.0,41353.0,0.0,1.0,4.0,11009601000.0,0.0,2.0,3.0,0.0,10.0,2.0,1.5,589.38671471,6.0,1.0,1.0,10.0,1.0,3.0,2.0,0.0,1.0,0,1,0,0,0,0,0.0,2.0,36000.0,10,5,10,10_0
60,9.0,15.0,59.0,112.0,,38.0,50.0,0.0,2.0,0.0,9625.0,1.0,4.0,11009801001.0,0.0,2.0,5.0,1.0,9.0,3.0,2.0,1413.5119053,4.0,1.0,2.0,10.0,1.0,4.0,1.0,0.0,0.0,0,1,0,0,0,0,1.0,0.0,25800.0,9,5,9,9_0
61,1.0,19.0,31.0,112.0,7.0,55.0,20.0,11000.0,2.0,0.0,0.0,1.0,4.0,11009801002.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1459.602457,4.0,1.0,5.0,10.0,1.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,12000.0,3,2,3_0,3_0_0
62,4.0,4.0,60.0,112.0,8.0,74.0,50.0,0.0,2.0,10000.0,0.0,1.0,1.0,11010001000.0,0.0,1.0,7.0,1.0,9.0,3.0,2.0,464.95492867,7.0,5.0,2.0,10.0,1.0,4.0,2.0,0.0,0.0,0,1,0,0,0,0,0.0,2.0,24336.0,9,5,9,9_0
63,5.0,8.0,25.0,112.0,6.0,56.0,50.0,0.0,1.0,9336.0,0.0,2.0,4.0,11010101000.0,645.0,1.0,3.0,1.0,1.0,2.0,1.3,1465.5771477,5.0,4.0,4.0,10.0,1.0,2.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,1.0,4620.0,1,1,1_0,1_0_0
64,9.0,9.0,69.0,112.0,7.0,78.0,70.0,0.0,4.0,0.0,10000.0,1.0,1.0,11010501000.0,0.0,0.0,6.0,0.0,4.0,2.0,1.5,719.10228122,7.0,5.0,2.0,10.0,1.0,3.0,1.0,0.0,0.0,0,1,0,0,0,0,1.0,0.0,12804.0,4,2,4_0,4_0_0
65,3.0,4.0,51.0,112.0,,33.0,50.0,0.0,3.0,0.0,24862.0,1.0,3.0,11010601000.0,0.0,2.0,5.0,2.0,9.0,4.0,2.3,599.9243829,5.0,1.0,1.0,10.0,1.0,4.0,2.0,0.0,1.0,0,1,0,0,0,0,2.0,0.0,28692.0,9,5,9,9_0
66,,,35.0,112.0,,47.0,50.0,,2.0,,,2.0,,11010801000.0,800.0,2.0,4.0,2.0,9.0,4.0,2.5,554.13650407,,1.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,24600.0,9,5,9,9_0
67,7.0,9.0,42.0,112.0,,65.0,50.0,0.0,1.0,3500.0,0.0,1.0,3.0,11011001000.0,662.0,1.0,3.0,2.0,1.0,3.0,1.8,1353.8540738,6.0,1.0,4.0,10.0,1.0,2.0,1.0,0.0,1.0,0,1,0,0,0,1,0.0,1.0,8004.0,1,1,1_1,1_0_1
68,6.0,8.0,39.0,112.0,9.0,65.0,50.0,0.0,1.0,0.0,38400.0,1.0,4.0,11011101000.0,832.0,2.0,4.0,3.0,4.0,5.0,2.8,700.38064379,9.0,1.0,4.0,10.0,1.0,4.0,1.0,0.0,1.0,0,1,0,0,0,0,1.0,0.0,13284.0,4,2,4_0,4_0_0
69,5.0,6.0,55.0,112.0,5.0,38.0,31.0,0.0,4.0,16400.0,0.0,2.0,4.0,11011501000.0,0.0,2.0,4.0,1.0,10.0,3.0,2.0,1160.6027186,5.0,1.0,2.0,10.0,1.0,4.0,2.0,0.0,1.0,0,1,0,0,0,0,0.0,2.0,36000.0,10,5,10,10_0
70,3.0,4.0,67.0,112.0,6.0,74.0,31.0,0.0,4.0,0.0,1500.0,1.0,3.0,11011601000.0,0.0,0.0,6.0,0.0,10.0,1.0,1.0,397.16747564,7.0,5.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,1.0,0.0,33600.0,10,5,10,10_0
71,6.0,5.0,43.0,112.0,10.0,46.0,12.0,0.0,3.0,26300.0,0.0,1.0,2.0,11011701000.0,0.0,2.0,9.0,3.0,7.0,5.0,2.6,1271.4073906,13.0,1.0,2.0,10.0,1.0,4.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,1.0,19776.0,7,4,7,7_0
72,10.0,10.0,81.0,112.0,7.0,74.0,44.0,0.0,4.0,0.0,1500.0,4.0,1.0,11012201000.0,0.0,0.0,5.0,0.0,7.0,2.0,1.5,560.25775413,7.0,5.0,2.0,10.0,1.0,3.0,2.0,0.0,0.0,0,1,0,0,0,0,2.0,0.0,19512.0,7,4,7,7_0
73,3.0,6.0,59.0,112.0,7.0,21.0,50.0,0.0,4.0,7000.0,0.0,4.0,4.0,11012301000.0,0.0,3.0,5.0,2.0,5.0,4.0,2.5,1339.0790124,6.0,1.0,2.0,10.0,1.0,4.0,1.0,0.0,0.0,0,1,0,0,0,0,0.0,1.0,14400.0,5,3,5,5_0
74,1.0,3.0,58.0,112.0,,12.0,50.0,0.0,4.0,21677.0,0.0,4.0,3.0,11012401000.0,0.0,2.0,8.0,0.0,2.0,2.0,1.5,692.95636037,7.0,1.0,2.0,10.0,1.0,3.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,1.0,8808.0,2,1,2_0,2_0_0
75,5.0,7.0,49.0,112.0,,37.0,41.0,0.0,2.0,25569.0,0.0,1.0,4.0,11012701000.0,0.0,2.0,6.0,2.0,9.0,4.0,2.5,565.34726355,7.0,1.0,2.0,10.0,1.0,4.0,3.0,0.0,1.0,0,1,0,0,0,0,0.0,3.0,24000.0,8,4,8,8_0
76,9.0,9.0,54.0,112.0,7.0,38.0,60.0,0.0,1.0,32000.0,0.0,1.0,1.0,11012801000.0,0.0,2.0,7.0,2.0,10.0,4.0,2.3,575.61932579,6.0,1.0,1.0,10.0,1.0,4.0,2.0,0.0,1.0,0,1,0,0,0,0,0.0,2.0,36516.0,10,5,10,10_0
77,2.0,2.0,53.0,112.0,5.0,62.0,70.0,0.0,2.0,25999.0,0.0,1.0,1.0,11012901000.0,900.0,2.0,3.0,0.0,9.0,2.0,1.5,648.65426615,6.0,1.0,4.0,10.0,1.0,3.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,1.0,28800.0,9,5,9,9_0
78,12.0,12.0,71.0,112.0,10.0,78.0,70.0,1000.0,2.0,0.0,0.0,3.0,1.0,11013001000.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,651.44799649,12.0,5.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,13200.0,4,2,4_0,4_0_0
79,3.0,4.0,54.0,112.0,6.0,46.0,41.0,0.0,2.0,0.0,28000.0,3.0,3.0,11013201000.0,774.0,1.0,3.0,1.0,4.0,2.0,1.5,1267.2158394,4.0,1.0,4.0,10.0,1.0,2.0,1.0,0.0,1.0,0,1,0,0,0,0,1.0,0.0,13596.0,4,2,4_0,4_0_0
80,7.0,7.0,46.0,112.0,8.0,37.0,12.0,0.0,4.0,30000.0,0.0,3.0,1.0,11013401000.0,0.0,1.0,6.0,3.0,10.0,5.0,2.8,556.28070444,7.0,1.0,2.0,10.0,3.0,4.0,2.0,0.0,0.0,0,1,0,0,0,0,0.0,2.0,42852.0,10,5,10,10_0
81,8.0,0.0,55.0,112.0,,33.0,12.0,0.0,2.0,0.0,,1.0,4.0,11013501000.0,0.0,2.0,6.0,1.0,10.0,3.0,2.0,694.41304712,2.0,1.0,2.0,10.0,3.0,4.0,3.0,0.0,1.0,0,1,0,0,0,0,3.0,0.0,32400.0,10,5,10,10_0
