region,carburant,annee,prix_moyen_par_hectolitre
82,Gazole,2007,110.12
82,Gazole,2008,128.43
82,Gazole,2009,101.39
82,Gazole,2010,116.41
82,Gazole,2011,134.98
82,Gazole,2012,140.56
82,Gazole,2013,136.38
82,Gazole,2014,131.49
82,Gazole,2015,117.74
82,Gazole,2016,
82,Gazole,2017,
82,Gazole,2018,
82,Gazole,2019,
82,Gazole,2020,
82,Gazole,2021,
82,Gazole,2022,
82,SP95,2007,128.49
82,SP95,2008,137.69
82,SP95,2009,122.92
82,SP95,2010,137.0
82,SP95,2011,151.98
82,SP95,2012,158.8
82,SP95,2013,156.49
82,SP95,2014,151.44
82,SP95,2015,138.05
82,SP95,2016,
82,SP95,2017,
82,SP95,2018,
82,SP95,2019,
82,SP95,2020,
82,SP95,2021,
82,SP95,2022,
82,GPLc,2007,73.86
82,GPLc,2008,75.84
82,GPLc,2009,66.28
82,GPLc,2010,74.66
82,GPLc,2011,84.64
82,GPLc,2012,87.82
82,GPLc,2013,88.32
82,GPLc,2014,87.31
82,GPLc,2015,80.13
82,GPLc,2016,
82,GPLc,2017,
82,GPLc,2018,
82,GPLc,2019,
82,GPLc,2020,
82,GPLc,2021,
82,GPLc,2022,
82,E85,2007,83.04
82,E85,2008,89.34
82,E85,2009,95.05
82,E85,2010,108.88
82,E85,2011,90.59
82,E85,2012,93.92
82,E85,2013,94.96
82,E85,2014,92.83
82,E85,2015,94.17
82,E85,2016,
82,E85,2017,
82,E85,2018,
82,E85,2019,
82,E85,2020,
82,E85,2021,
82,E85,2022,
82,E10,2009,123.75
82,E10,2010,135.51
82,E10,2011,150.13
82,E10,2012,156.45
82,E10,2013,154.73
82,E10,2014,149.95
82,E10,2015,136.78
82,E10,2016,
82,E10,2017,
82,E10,2018,
82,E10,2019,
82,E10,2020,
82,E10,2021,
82,E10,2022,
82,SP98,2013,158.39
82,SP98,2014,156.28
82,SP98,2015,142.78
82,SP98,2016,
82,SP98,2017,
82,SP98,2018,
82,SP98,2019,
82,SP98,2020,
82,SP98,2021,
82,SP98,2022,
22,Gazole,2007,109.44
22,Gazole,2008,127.2
22,Gazole,2009,100.44
22,Gazole,2010,115.4
22,Gazole,2011,135.4
22,Gazole,2012,141.45
22,Gazole,2013,137.09
22,Gazole,2014,130.11
22,Gazole,2015,116.28
22,Gazole,2016,
22,Gazole,2017,
22,Gazole,2018,
22,Gazole,2019,
22,Gazole,2020,
22,Gazole,2021,
22,Gazole,2022,
22,SP95,2007,129.29
22,SP95,2008,137.12
22,SP95,2009,120.76
22,SP95,2010,134.95
22,SP95,2011,150.65
22,SP95,2012,158.23
22,SP95,2013,155.6
22,SP95,2014,149.77
22,SP95,2015,136.65
22,SP95,2016,
22,SP95,2017,
22,SP95,2018,
22,SP95,2019,
22,SP95,2020,
22,SP95,2021,
22,SP95,2022,
22,E85,2007,81.5
22,E85,2008,83.09
22,E85,2009,87.63
22,E85,2010,96.89
22,E85,2011,88.33
22,E85,2012,92.38
22,E85,2013,91.38
22,E85,2014,84.66
22,E85,2015,76.63
22,E85,2016,
22,E85,2017,
22,E85,2018,
22,E85,2019,
22,E85,2020,
22,E85,2021,
22,E85,2022,
22,GPLc,2007,72.8
22,GPLc,2008,76.2
22,GPLc,2009,65.83
22,GPLc,2010,73.63
22,GPLc,2011,82.96
22,GPLc,2012,88.45
22,GPLc,2013,89.24
22,GPLc,2014,87.44
22,GPLc,2015,80.58
22,GPLc,2016,
22,GPLc,2017,
22,GPLc,2018,
22,GPLc,2019,
22,GPLc,2020,
22,GPLc,2021,
22,GPLc,2022,
22,E10,2009,125.84
22,E10,2010,137.15
22,E10,2011,152.5
22,E10,2012,158.19
22,E10,2013,154.9
22,E10,2014,149.37
22,E10,2015,136.34
22,E10,2016,
22,E10,2017,
22,E10,2018,
22,E10,2019,
22,E10,2020,
22,E10,2021,
22,E10,2022,
22,SP98,2013,158.44
22,SP98,2014,154.83
22,SP98,2015,141.78
22,SP98,2016,
22,SP98,2017,
22,SP98,2018,
22,SP98,2019,
22,SP98,2020,
22,SP98,2021,
22,SP98,2022,
83,Gazole,2007,111.58
83,Gazole,2008,129.97
83,Gazole,2009,102.9
83,Gazole,2010,117.75
83,Gazole,2011,137.59
83,Gazole,2012,143.17
83,Gazole,2013,138.62
83,Gazole,2014,131.88
83,Gazole,2015,117.82
83,Gazole,2016,
83,Gazole,2017,
83,Gazole,2018,
83,Gazole,2019,
83,Gazole,2020,
83,Gazole,2021,
83,Gazole,2022,
83,SP95,2007,130.24
83,SP95,2008,139.43
83,SP95,2009,124.45
83,SP95,2010,138.81
83,SP95,2011,154.54
83,SP95,2012,161.52
83,SP95,2013,158.83
83,SP95,2014,153.07
83,SP95,2015,138.68
83,SP95,2016,
83,SP95,2017,
83,SP95,2018,
83,SP95,2019,
83,SP95,2020,
83,SP95,2021,
83,SP95,2022,
83,GPLc,2007,72.78
83,GPLc,2008,75.5
83,GPLc,2009,65.91
83,GPLc,2010,72.94
83,GPLc,2011,80.9
83,GPLc,2012,85.85
83,GPLc,2013,86.0
83,GPLc,2014,84.85
83,GPLc,2015,78.78
83,GPLc,2016,
83,GPLc,2017,
83,GPLc,2018,
83,GPLc,2019,
83,GPLc,2020,
83,GPLc,2021,
83,GPLc,2022,
83,E85,2007,84.0
83,E85,2008,84.91
83,E85,2009,92.69
83,E85,2010,133.89
83,E85,2011,82.8
83,E85,2012,86.2
83,E85,2013,91.19
83,E85,2014,80.67
83,E85,2015,91.42
83,E85,2016,
83,E85,2017,
83,E85,2018,
83,E85,2019,
83,E85,2020,
83,E85,2021,
83,E85,2022,
83,E10,2009,119.75
83,E10,2010,135.17
83,E10,2011,150.62
83,E10,2012,156.8
83,E10,2013,154.59
83,E10,2014,148.88
83,E10,2015,136.05
83,E10,2016,
83,E10,2017,
83,E10,2018,
83,E10,2019,
83,E10,2020,
83,E10,2021,
83,E10,2022,
83,SP98,2013,159.97
83,SP98,2014,156.29
83,SP98,2015,142.57
83,SP98,2016,
83,SP98,2017,
83,SP98,2018,
83,SP98,2019,
83,SP98,2020,
83,SP98,2021,
83,SP98,2022,
93,Gazole,2007,110.48
93,Gazole,2008,129.16
93,Gazole,2009,101.95
93,Gazole,2010,116.7
93,Gazole,2011,135.44
93,Gazole,2012,142.81
93,Gazole,2013,138.29
93,Gazole,2014,132.08
93,Gazole,2015,118.12
93,Gazole,2016,113.61
93,Gazole,2017,126.15
93,Gazole,2018,146.75
93,Gazole,2019,146.84
93,Gazole,2020,129.56
93,Gazole,2021,145.73
93,Gazole,2022,188.0
93,SP95,2007,128.75
93,SP95,2008,138.1
93,SP95,2009,123.0
93,SP95,2010,137.22
93,SP95,2011,152.31
93,SP95,2012,159.84
93,SP95,2013,157.64
93,SP95,2014,152.29
93,SP95,2015,138.9
93,SP95,2016,133.85
93,SP95,2017,141.61
93,SP95,2018,154.53
93,SP95,2019,153.84
93,SP95,2020,141.15
93,SP95,2021,158.05
93,SP95,2022,190.0
93,GPLc,2007,73.82
93,GPLc,2008,76.32
93,GPLc,2009,66.15
93,GPLc,2010,72.54
93,GPLc,2011,83.82
93,GPLc,2012,87.45
93,GPLc,2013,88.1
93,GPLc,2014,86.66
93,GPLc,2015,80.5
93,GPLc,2016,71.83
93,GPLc,2017,75.55
93,GPLc,2018,83.49
93,GPLc,2019,87.39
93,GPLc,2020,86.6
93,GPLc,2021,86.96
93,GPLc,2022,89.0
93,E85,2007,81.43
93,E85,2008,86.0
93,E85,2009,93.88
93,E85,2010,105.24
93,E85,2011,92.55
93,E85,2012,92.81
93,E85,2013,93.98
93,E85,2014,90.3
93,E85,2015,86.42
93,E85,2016,79.87
93,E85,2017,71.32
93,E85,2018,71.46
93,E85,2019,68.15
93,E85,2020,68.38
93,E85,2021,70.8
93,E85,2022,82.0
93,E10,2009,124.39
93,E10,2010,135.03
93,E10,2011,149.37
93,E10,2012,157.01
93,E10,2013,154.93
93,E10,2014,149.65
93,E10,2015,136.33
93,E10,2016,129.67
93,E10,2017,136.85
93,E10,2018,149.81
93,E10,2019,149.69
93,E10,2020,136.32
93,E10,2021,154.95
93,E10,2022,185.0
93,SP98,2013,159.53
93,SP98,2014,156.71
93,SP98,2015,143.34
93,SP98,2016,138.37
93,SP98,2017,146.49
93,SP98,2018,159.64
93,SP98,2019,158.76
93,SP98,2020,145.61
93,SP98,2021,164.22
93,SP98,2022,195.0
73,Gazole,2007,110.9
73,Gazole,2008,129.03
