label_division,label_groupe,label_classe,label_sous_classe,label_poste,code_coicop,start,stop,origin,categorie_fiscale
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Riz,Riz,1.1.1.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Farines et autres céréales,Farines et autres céréales,1.1.1.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Pain,Pain,1.1.1.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Pâtisserie fraîche,1.1.1.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Pâtisserie surgelée,1.1.1.4.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Viennoiserie,1.1.1.4.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Biscottes et pains durs,1.1.1.4.4,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Biscuits et gâteaux,1.1.1.4.5,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits de boulangerie,Pâtisserie de conservation,1.1.1.4.6,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,"Pizzas, quiches et plats cuisinés à base de céréales","Pizzas, quiches et plats cuisinés à base de céréales",1.1.1.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Pâtes alimentaires et couscous,Pâtes alimentaires et couscous,1.1.1.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Céréales pour petit déjeuner,Céréales pour petit déjeuner,1.1.1.7.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Pain et céréales,Autres produits à base de céréales n.c.a.,Autres produits à base de céréales n.c.a.,1.1.1.8.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Boeuf et veau,Boeuf à rôtir,1.1.2.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Boeuf et veau,Boeuf à braiser et bouillir,1.1.2.1.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Boeuf et veau,Boeuf haché,1.1.2.1.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Boeuf et veau,Veau à rôtir,1.1.2.1.4,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Boeuf et veau,Veau à braiser et bouillir,1.1.2.1.5,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Porc,Porc,1.1.2.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,"Mouton, agneau et chèvre","Mouton, agneau et chèvre",1.1.2.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Volaille,Poulet,1.1.2.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Volaille,Dinde,1.1.2.4.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Volaille,Autres volailles,1.1.2.4.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Autres viandes,Autres viandes,1.1.2.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Abats comestibles,Abats comestibles,1.1.2.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,"Viande séchée, salée ou fumée",Jambon,1.1.2.7.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,"Viande séchée, salée ou fumée",Saucisson,1.1.2.7.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,"Viande séchée, salée ou fumée",Saucisse,1.1.2.7.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,"Viande séchée, salée ou fumée","Autres préparations de viandes, séchées salées ou fumées",1.1.2.7.4,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Autres préparations à base de viande,Pâté,1.1.2.8.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Autres préparations à base de viande,Autres préparations charcutières,1.1.2.8.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Autres préparations à base de viande,Plats cuisinés à base de viande,1.1.2.8.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Viande,Autres préparations à base de viande,Conserves de viande,1.1.2.8.4,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Poissons frais,Poissons frais,1.1.3.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Poissons surgelés,Poissons surgelés,1.1.3.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Fruits de mer frais,Fruits de mer frais,1.1.3.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Fruits de mer surgelés,Fruits de mer surgelés,1.1.3.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,"Poissons et fruits de mer séchés, fumés ou salés","Poissons et fruits de mer séchés, fumés ou salés",1.1.3.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Autres conserves ou préparations à base de poisson et de fruits de mer,Poissons et fruits de mer en conserve,1.1.3.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Poissons et fruits de mer,Autres conserves ou préparations à base de poisson et de fruits de mer,Plats cuisinés à base de poisson ou de fruits de mer,1.1.3.6.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Lait entier,Lait entier,1.1.4.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Lait demi-écrémé ou écrémé,Lait demi-écrémé ou écrémé,1.1.4.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs","Lait longue conservation, en poudre ou concentré","Lait longue conservation, en poudre ou concentré",1.1.4.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Yaourt,Yaourt,1.1.4.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Fromage et laits caillés,Fromage frais,1.1.4.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Fromage et laits caillés,Fromage à pâte molle et à pâte persillée,1.1.4.5.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Fromage et laits caillés,Fromage à pâte pressée,1.1.4.5.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Fromage et laits caillés,Fromage de chèvre,1.1.4.5.4,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Fromage et laits caillés,Fromage fondu,1.1.4.5.5,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Autres produits laitiers,Crème fraîche et autres crèmes,1.1.4.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Autres produits laitiers,Desserts lactés et autres produits laitiers n.c.a.,1.1.4.6.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Lait, fromage et œufs",Oeufs,Oeufs,1.1.4.7.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Huiles et graisses,Beurre,Beurre,1.1.5.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Huiles et graisses,Margarine et autres graisses végétales,Margarine et autres graisses végétales,1.1.5.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Huiles et graisses,Huile d'olive,Huile d'olive,1.1.5.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Huiles et graisses,Autres huiles alimentaires,Autres huiles alimentaires,1.1.5.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Huiles et graisses,Autres graisses animales alimentaires,Autres graisses animales alimentaires,1.1.5.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Fruits,Fruits frais,Fruits frais,1.1.6.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Fruits,Fruits surgelés,Fruits surgelés,1.1.6.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Fruits,Fruits secs et fruits à coque,Fruits secs et fruits à coque,1.1.6.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Fruits,Fruits en conserve et autres produits à base de fruits n.c.a.,Fruits en conserve et autres produits à base de fruits n.c.a.,1.1.6.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,"Légumes frais, hors pommes de terre et autres tubercules","Légumes frais, hors pommes de terre et autres tubercules",1.1.7.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,"Légumes surgelés, sauf pommes de terre et autres tubercules","Légumes surgelés, sauf pommes de terre et autres tubercules",1.1.7.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,"Légumes secs, autres légumes en conserve ou transformés",Légumes secs et en conserve,1.1.7.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,"Légumes secs, autres légumes en conserve ou transformés",Autres plats cuisinés à base de légumes,1.1.7.3.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,Pommes de terre,Pommes de terre fraiches ou de conservation,1.1.7.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,Pommes de terre,Pommes de terre transformées (hors chips),1.1.7.4.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,Chips,Chips,1.1.7.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Légumes,Autres tubercules et produits issus de tubercules,Autres tubercules et produits issus de tubercules,1.1.7.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Sucre,Sucre,1.1.8.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie","Confitures, compotes et miel","Confitures, compotes et miel",1.1.8.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Chocolat,Chocolat en tablettes,1.1.8.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Chocolat,Confiseries à base de chocolat,1.1.8.3.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Produits de confiserie (hors chocolat),Produits de confiserie (hors chocolat),1.1.8.4.1,1994,2024,ECOICOP 2016,tva_taux_plein
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Crèmes glacées et sorbets,Crèmes glacées et sorbets,1.1.8.5.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,"Sucre, confiture, miel, chocolat et confiserie",Succédané de sucre (sucrettes),Succédané de sucre (sucrettes),1.1.8.6.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Sauces et condiments,Sauces et condiments,1.1.9.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,"Sel, épices et herbes culinaires","Sel, épices et herbes culinaires",1.1.9.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Aliments pour bébés,Aliments pour bébés,1.1.9.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Plats cuisinés n.c.a.,Plats cuisinés n.c.a.,1.1.9.4.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Autres produits alimentaires n.c.a.,Produits diététiques,1.1.9.9.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Autres produits alimentaires n.c.a.,Potages préparés,1.1.9.9.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Produits alimentaires,Produits alimentaires n.c.a.,Autres produits alimentaires n.c.a.,"Desserts, produits pour pâtisserie et autres produits alimentaires n.c.a.",1.1.9.9.3,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Café, thé et cacao",Café,Café en grains ou moulu,1.2.1.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Café, thé et cacao",Café,Café soluble et succédané de café,1.2.1.1.2,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Café, thé et cacao",Thés et infusions,Thés et infusions,1.2.1.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Café, thé et cacao",Cacao et chocolat en poudre,Cacao et chocolat en poudre,1.2.1.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes",Eaux minérales ou de source,Eaux minérales ou de source,1.2.2.1.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes",Boissons rafraîchissantes,Boissons rafraîchissantes,1.2.2.2.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes",Jus de fruits et de légumes,Jus de fruits et de légumes,1.2.2.3.1,1994,2024,ECOICOP 2016,tva_taux_reduit
Produits alimentaires et boissons non alcoolisées,Boissons non alcoolisées,"Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes",Jus de fruits et de légumes,Sirops et concentrés,1.2.2.3.2,1994,2024,ECOICOP 2016,tva_taux_reduit
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Alcools de bouche,Spiritueux et liqueurs,Apéritifs anisés à base d'alcool,2.1.1.1.1,1994,2024,ECOICOP 2016,alcools_forts
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Alcools de bouche,Spiritueux et liqueurs,Whisky,2.1.1.1.2,1994,2024,ECOICOP 2016,alcools_forts
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Alcools de bouche,Spiritueux et liqueurs,Eaux de vie autres que le whisky,2.1.1.1.3,1994,2024,ECOICOP 2016,alcools_forts
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Alcools de bouche,Spiritueux et liqueurs,Liqueurs et autres spiritueux n.c.a.,2.1.1.1.4,1994,2024,ECOICOP 2016,alcools_forts
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Alcools de bouche,Boissons faiblement alcoolisées,Boissons faiblement alcoolisées,2.1.1.2.1,1994,2024,ECOICOP 2016,alcools_forts
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Vin,Vins de consommation courante,2.1.2.1.1,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Vin,Vins supérieurs,2.1.2.1.2,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Vin,Champagne et mousseux,2.1.2.1.3,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Boissons fermentées à base d'autres fruits,Boissons fermentées à base d'autres fruits,2.1.2.2.2,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Vins enrichis en alcool,Vins enrichis en alcool,2.1.2.3.1,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Boissons à base de vin,Apéritifs à base de vin,2.1.2.4.1,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Vin et boissons fermentées,Boissons à base de vin,Vins non alcoolisés,2.1.2.4.2,1994,2024,ECOICOP 2016,vin
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Bières,Bières à basse fermentation,Bières à basse fermentation,2.1.3.1.1,1994,2024,ECOICOP 2016,biere
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Bières,Autres bières alcoolisées,Autres bières alcoolisées,2.1.3.2.1,1994,2024,ECOICOP 2016,biere
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Bières,Bières à faible teneur en alcool ou sans alcool,Bières à faible teneur en alcool ou sans alcool,2.1.3.3.1,1994,2024,ECOICOP 2016,biere
"Boissons alcoolisées, tabac et stupéfiants",Boissons alcoolisées,Bières,Boissons à base de bière,Boissons à base de bière,2.1.3.4.1,1994,2024,ECOICOP 2016,biere
"Boissons alcoolisées, tabac et stupéfiants",Tabac,Tabac,Cigarettes,Cigarettes,2.2.0.1.1,1994,2024,ECOICOP 2016,cigarettes
"Boissons alcoolisées, tabac et stupéfiants",Tabac,Tabac,Cigares,Cigares,2.2.0.2.1,1994,2024,ECOICOP 2016,cigares
"Boissons alcoolisées, tabac et stupéfiants",Tabac,Tabac,Autres produits du tabac,Autres produits du tabac,2.2.0.3.1,1994,2024,ECOICOP 2016,tabac_a_rouler
"Boissons alcoolisées, tabac et stupéfiants",Stupéfiants,Stupéfiants,Stupéfiants,Stupéfiants,2.3.0.0.1,1994,2024,ECOICOP 2016,
Articles d'habillement et chaussures,Articles d'habillement,Tissus pour l'habillement,Tissus pour l'habillement,Tissus pour l'habillement,3.1.1.0.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,"Manteaux, imperméables et vestes pour homme",3.1.2.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,Costumes pour homme,3.1.2.1.2,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,Pantalons pour homme,3.1.2.1.3,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,Vêtements de sport ou de loisir pour homme,3.1.2.1.4,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,"Chemises, tricots et pull-overs pour homme",3.1.2.1.5,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,"Lingerie, vêtements de nuit pour homme",3.1.2.1.6,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour hommes,Chaussettes pour homme,3.1.2.1.7,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,"Manteaux, imperméables et vestes pour femme",3.1.2.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,Tailleurs et ensembles pour femme,3.1.2.2.2,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,Pantalons pour femme,3.1.2.2.3,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,Jupes,3.1.2.2.4,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,Robes,3.1.2.2.5,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,Vêtements de sport ou de loisir pour femme,3.1.2.2.6,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,"Chemisiers, tricots et pull-overs pour femme",3.1.2.2.7,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,"Lingerie, vêtements de nuit pour femme",3.1.2.2.8,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour femmes,"Collants, bas et chaussettes pour femme",3.1.2.2.9,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,"Manteaux, imperméables et vestes pour enfant",3.1.2.3.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,Pantalons pour enfant,3.1.2.3.2,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,"Jupes, robes et ensembles pour enfant",3.1.2.3.3,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,Vêtements de sport ou de loisir pour enfant,3.1.2.3.4,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,"Chemises, tricots et pull-overs pour enfant",3.1.2.3.5,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,"Lingerie, vêtements de nuit pour enfant",3.1.2.3.6,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,Collants et chaussettes pour enfant,3.1.2.3.7,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Vêtements,Vêtements pour nourrissons et enfants,Layette,3.1.2.3.8,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Autres articles et accessoires d'habillement,Autres articles d'habillement,Vêtements de travail,3.1.3.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Autres articles et accessoires d'habillement,Autres articles d'habillement,Autres articles d'habillement n.c.a.,3.1.3.1.2,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,Autres articles et accessoires d'habillement,Accessoires d'habillement,Accessoires d'habillement,3.1.3.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,"Nettoyage, réparation et location d'articles d'habillement",Nettoyage d'articles d'habillement,Nettoyage d'articles d'habillement,3.1.4.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Articles d'habillement,"Nettoyage, réparation et location d'articles d'habillement",Réparation et location d'articles d'habillement,Réparation et location d'articles d'habillement,3.1.4.2.1,1994,2024,ECOICOP 2016,tva_taux_plein
Articles d'habillement et chaussures,Chaussures,Chaussures diverses,Chaussures pour hommes,Chaussures de ville pour homme,3.2.1.1.1,1994,2024,ECOICOP 2016,tva_taux_plein
